ros_time_sec,frame_id,voltage,current
1757276244.7355635,,48.0,0.0
1757276244.735926,,48.0,0.0
1757276244.8355284,,48.0,0.0
1757276244.8358748,,48.0,0.0
1757276244.9355938,,48.0,0.0
1757276244.935977,,48.0,0.0
1757276245.0356293,,48.0,0.0
1757276245.036015,,48.0,0.0
1757276245.1355984,,48.0,0.0
1757276245.136181,,48.0,0.0
1757276245.2356095,,48.0,0.0
1757276245.2359893,,48.0,0.0
1757276245.335629,,48.0,0.0
1757276245.335981,,48.0,0.0
1757276245.4356303,,48.0,0.0
1757276245.4360082,,48.0,0.0
1757276245.5356317,,48.0,0.0
1757276245.5360126,,48.0,0.0
1757276245.6356623,,48.0,0.0
1757276245.6360452,,48.0,0.0
1757276245.735657,,48.0,0.0
1757276245.7360315,,48.0,0.0
1757276245.835658,,48.0,0.0
1757276245.8360348,,48.0,0.0
1757276245.9357073,,48.0,0.0
1757276245.9360266,,48.0,0.0
1757276246.0357158,,48.0,0.0
1757276246.0360765,,48.0,0.0
1757276246.1357155,,48.0,0.0
1757276246.1360443,,48.0,0.0
1757276246.2357352,,48.0,0.0
1757276246.2360673,,48.0,0.0
1757276246.3357377,,48.0,0.0
1757276246.3360515,,48.0,0.0
1757276246.4356194,,48.0,0.0
1757276246.435912,,48.0,0.0
1757276246.535746,,48.0,0.0
1757276246.5360658,,48.0,0.0
1757276246.6357594,,48.0,0.0
1757276246.6360776,,48.0,0.0
1757276246.735784,,48.0,0.0
1757276246.7360973,,48.0,0.0
1757276246.835777,,48.0,0.0
1757276246.8361077,,48.0,0.0
1757276246.9357758,,48.0,0.0
1757276246.9360898,,48.0,0.0
1757276247.0357528,,48.0,0.0
1757276247.036084,,48.0,0.0
1757276247.1357937,,48.0,0.0
1757276247.136124,,48.0,0.0
1757276247.2357838,,48.0,0.0
1757276247.2361042,,48.0,0.0
1757276247.3358035,,48.0,0.0
1757276247.3361182,,48.0,0.0
1757276247.435777,,48.0,0.0
1757276247.4360702,,48.0,0.0
1757276247.5358164,,48.0,0.0
1757276247.536134,,48.0,0.0
1757276247.635821,,48.0,0.0
1757276247.6361322,,48.0,0.0
1757276247.7358305,,48.0,0.0
1757276247.7361627,,48.0,0.0
1757276247.835854,,48.0,0.0
1757276247.8361738,,48.0,0.0
1757276247.935857,,48.0,0.0
1757276247.9361699,,48.0,0.0
1757276248.0358036,,48.0,0.0
1757276248.036071,,48.0,0.0
1757276248.1358676,,48.0,0.0
1757276248.1361954,,48.0,0.0
1757276248.2358863,,48.0,0.0
1757276248.236214,,48.0,0.0
1757276248.3358552,,48.0,0.0
1757276248.336128,,48.0,0.0
1757276248.4358451,,48.0,0.0
1757276248.4361486,,48.0,0.0
1757276248.5359783,,48.0,0.0
1757276248.5363066,,48.0,0.0
1757276248.6358745,,48.0,0.0
1757276248.636184,,48.0,0.0
1757276248.7360384,,48.0,0.0
1757276248.7365599,,48.0,0.0
1757276248.8359246,,48.0,0.0
1757276248.8362412,,48.0,0.0
1757276248.9359338,,48.0,0.0
1757276248.9362698,,48.0,0.0
1757276249.0359151,,48.0,0.0
1757276249.0362155,,48.0,0.0
1757276249.1359565,,48.0,0.0
1757276249.1362767,,48.0,0.0
1757276249.2359207,,48.0,0.0
1757276249.2362106,,48.0,0.0
1757276249.3359742,,48.0,0.0
1757276249.3362844,,48.0,0.0
1757276249.4359686,,48.0,0.0
1757276249.4362757,,48.0,0.0
1757276249.5359912,,48.0,0.0
1757276249.536306,,48.0,0.0
1757276249.6359859,,48.0,0.0
1757276249.636299,,48.0,0.0
1757276249.7359965,,48.0,0.0
1757276249.736322,,48.0,0.0
1757276249.8360136,,48.0,0.0
1757276249.836332,,48.0,0.0
1757276249.9360397,,48.0,0.0
1757276249.936358,,48.0,0.0
1757276250.036053,,48.0,0.0
1757276250.0363717,,48.0,0.0
1757276250.1360672,,48.0,0.0
1757276250.1363847,,48.0,0.0
1757276250.2360382,,48.0,0.0
1757276250.2363696,,48.0,0.0
1757276250.3360877,,48.0,0.0
1757276250.3364203,,48.0,0.0
1757276250.4360642,,48.0,0.0
1757276250.4363823,,48.0,0.0
1757276250.5360832,,48.0,0.0
1757276250.536402,,48.0,0.0
1757276250.6360483,,48.0,0.0
1757276250.6363304,,48.0,0.0
1757276250.7359998,,48.0,0.0
1757276250.7362578,,48.0,0.0
1757276250.836103,,48.0,0.0
1757276250.83642,,48.0,0.0
1757276250.9361246,,48.0,0.0
1757276250.9364476,,48.0,0.0
1757276251.0361807,,48.0,0.0
1757276251.0364935,,48.0,0.0
1757276251.1361516,,48.0,0.0
1757276251.1364658,,48.0,0.0
1757276251.2361395,,48.0,0.0
1757276251.236463,,48.0,0.0
1757276251.3361588,,48.0,0.0
1757276251.3364727,,48.0,0.0
1757276251.4361181,,48.0,0.0
1757276251.4364102,,48.0,0.0
1757276251.536175,,48.0,0.0
1757276251.536491,,48.0,0.0
1757276251.6362896,,48.0,0.0
1757276251.6366026,,48.0,0.0
1757276251.7361858,,48.0,0.0
1757276251.736503,,48.0,0.0
1757276251.8361828,,48.0,0.0
1757276251.8365126,,48.0,0.0
1757276251.9362173,,48.0,0.0
1757276251.9365232,,48.0,0.0
1757276252.0362322,,48.0,0.0
1757276252.036553,,48.0,0.0
1757276252.1362202,,48.0,0.0
1757276252.1365874,,48.0,0.0
1757276252.2362394,,48.0,0.0
1757276252.2365644,,48.0,0.0
1757276252.336246,,48.0,0.0
1757276252.3367736,,48.0,0.0
1757276252.4362426,,48.0,0.0
1757276252.436561,,48.0,0.0
1757276252.5362918,,48.0,0.0
1757276252.5366113,,48.0,0.0
1757276252.6362755,,48.0,0.0
1757276252.6365902,,48.0,0.0
1757276252.7363288,,48.0,0.0
1757276252.7367063,,48.0,0.0
1757276252.836292,,48.0,0.0
1757276252.8366122,,48.0,0.0
1757276252.936314,,48.0,0.0
1757276252.936783,,48.0,0.0
1757276253.0363245,,48.0,0.0
1757276253.0366538,,48.0,0.0
1757276253.1363444,,48.0,0.0
1757276253.1366827,,48.0,0.0
1757276253.236335,,48.0,0.0
1757276253.236656,,48.0,0.0
1757276253.3363564,,48.0,0.0
1757276253.3367047,,48.0,0.0
1757276253.4363725,,48.0,0.0
1757276253.4366891,,48.0,0.0
1757276253.5363955,,48.0,0.0
1757276253.536711,,48.0,0.0
1757276253.6364064,,48.0,0.0
1757276253.6367145,,48.0,0.0
1757276253.736397,,48.0,0.0
1757276253.73671,,48.0,0.0
1757276253.836442,,48.0,0.0
1757276253.8367736,,48.0,0.0
1757276253.936435,,48.0,0.0
1757276253.9368804,,48.0,0.0
1757276254.036443,,48.0,0.0
1757276254.036795,,48.0,0.0
1757276254.1364515,,48.0,0.0
1757276254.1368062,,48.0,0.0
1757276254.2364683,,48.0,0.0
1757276254.2367811,,48.0,0.0
1757276254.3364825,,48.0,0.0
1757276254.3368027,,48.0,0.0
1757276254.436451,,48.0,0.0
1757276254.436778,,48.0,0.0
1757276254.536487,,48.0,0.0
1757276254.5368028,,48.0,0.0
1757276254.6365225,,48.0,0.0
1757276254.636828,,48.0,0.0
1757276254.7365115,,48.0,0.0
1757276254.7368498,,48.0,0.0
1757276254.8367126,,48.0,0.0
1757276254.8370755,,48.0,0.0
1757276254.936548,,48.0,0.0
1757276254.9368844,,48.0,0.0
1757276255.036574,,48.0,0.0
1757276255.0368948,,48.0,0.0
1757276255.136568,,48.0,0.0
1757276255.1368868,,48.0,0.0
1757276255.236601,,48.0,0.0
1757276255.2369292,,48.0,0.0
1757276255.3365893,,48.0,0.0
1757276255.3369024,,48.0,0.0
1757276255.436633,,48.0,0.0
1757276255.436952,,48.0,0.0
1757276255.536618,,48.0,0.0
1757276255.5369692,,48.0,0.0
1757276255.6366267,,48.0,0.0
1757276255.636956,,48.0,0.0
1757276255.7366536,,48.0,0.0
1757276255.7369797,,48.0,0.0
1757276255.8366597,,48.0,0.0
1757276255.8369925,,48.0,0.0
1757276255.9366581,,48.0,0.0
1757276255.9373107,,48.0,0.0
1757276256.0366282,,48.0,0.0
1757276256.0369012,,48.0,0.0
1757276256.136695,,48.0,0.0
1757276256.1370006,,48.0,0.0
1757276256.2367127,,48.0,0.0
1757276256.2370663,,48.0,0.0
1757276256.3367372,,48.0,0.0
1757276256.3370543,,48.0,0.0
1757276256.4367487,,48.0,0.0
1757276256.4370596,,48.0,0.0
1757276256.5367632,,48.0,0.0
1757276256.5370758,,48.0,0.0
1757276256.6367729,,48.0,0.0
1757276256.6370873,,48.0,0.0
1757276256.7367718,,48.0,0.0
1757276256.7371163,,48.0,0.0
1757276256.8367767,,48.0,0.0
1757276256.8370914,,48.0,0.0
1757276256.9369082,,48.0,0.0
1757276256.937397,,48.0,0.0
1757276257.0368507,,48.0,0.0
1757276257.0371914,,48.0,0.0
1757276257.136918,,48.0,0.0
1757276257.137235,,48.0,0.0
1757276257.2368681,,48.0,0.0
1757276257.237183,,48.0,0.0
1757276257.336872,,48.0,0.0
1757276257.337187,,48.0,0.0
1757276257.4368894,,48.0,0.0
1757276257.4372008,,48.0,0.0
1757276257.5370688,,48.0,0.0
1757276257.5374405,,48.0,0.0
1757276257.6368988,,48.0,0.0
1757276257.6372235,,48.0,0.0
1757276257.7369044,,48.0,0.0
1757276257.7372344,,48.0,0.0
1757276257.8369567,,48.0,0.0
1757276257.8372757,,48.0,0.0
