timestamp,strain_gauge_1,strain_gauge_2,strain_gauge_3
45133102,2099,512,1257
45143232,2118,511,1278
45156022,2097,501,1269
45169012,2107,511,1250
45178591,2090,508,1254
45191601,2103,538,1276
45201790,2100,507,1227
45212728,2098,510,1027
45222899,2112,510,1267
45232496,2095,505,1024
45242051,2093,496,1032
45250408,2100,509,1264
45261149,2093,522,1041
45273642,2099,509,1042
45283633,2094,520,1260
45294080,2096,515,1277
45306558,2100,511,1259
45316347,2101,519,1268
45326865,2089,518,1260
45338872,2102,513,1240
45351111,2110,514,1252
45363797,2088,511,1261
45376866,2095,513,1237
45388042,2097,512,1256
45397432,2106,511,1278
45407188,2104,511,1273
45419044,2102,509,1265
45429107,2100,511,1257
45439445,2101,514,1266
45448004,2104,511,1262
45460879,2112,511,1269
45473940,2117,511,1249
45485031,2099,511,1268
45494359,2082,520,1262
45506137,2085,511,1275
45516493,2086,506,1266
45528444,2100,509,1257
45538152,2086,508,1266
45549443,2093,527,1501
45558989,2092,512,1024
45567459,2097,500,1261
45584444,2092,516,1249
45594287,2110,511,1267
45605202,2096,511,1259
45617702,2103,505,1250
45627350,2091,532,1250
45636316,2084,550,1237
45646193,2089,511,1243
45661421,2109,506,1224
45671046,2093,508,1229
45679947,2115,511,1256
45689889,2093,511,1249
45700907,2108,498,1267
45715764,2108,504,1253
45725027,2109,508,1277
45736173,2124,556,1260
45748938,2124,511,1246
45757946,2123,511,1028
45767528,2110,511,1252
45778895,2116,511,1254
45789039,2120,520,1024
45798917,2108,511,1257
45812593,2104,507,1230
45822618,2112,511,1276
45833112,2098,511,1262
45845645,2093,512,1277
45855905,2101,511,1262
45869560,2098,511,1240
45879650,2096,512,1281
45888865,2101,518,1533
45899732,2102,512,1534
45910218,2091,515,1458
45925561,2090,523,1294
45937119,2117,533,1292
45947246,2104,525,1316
45957659,2085,523,1298
45969977,2090,514,1291
45978722,2082,511,1293
45988052,2078,511,1290
45999690,2068,522,1521
46011585,2067,508,1328
46021256,2081,512,1029
46035546,2085,511,1272
46047661,2099,511,1528
46058773,2085,511,1024
46068596,2101,511,1284
46080501,2095,514,1257
46090122,2089,514,1275
46101386,2088,511,1032
46114052,2100,511,1264
46124652,2094,508,1256
46135834,2097,511,1266
46146776,2089,490,1237
46157046,2093,510,1217
46168213,2066,511,1040
46178608,2108,511,1252
46188776,2107,510,1232
46199992,2140,526,1262
46209733,2126,511,1491
46219798,2109,511,1269
46228972,2102,511,1040
46241596,2091,507,1311
46252207,2100,512,1046
46262207,2093,511,1530
46270737,2075,517,1524
46281397,2089,517,1294
46291755,2051,527,1029
46302030,2102,552,1306
46318446,2093,516,1288
46327158,2092,532,1426
46340049,2090,517,1336
46351694,2080,544,1520
46361015,2088,538,1026
46375123,2083,527,1509
46384939,2094,517,1037
46397169,2099,511,1259
46407288,2110,518,1267
46417757,2091,511,1268
46430475,2091,514,1246
46441520,2110,511,1235
46454068,2108,509,1235
46465960,2102,500,1217
46475437,2106,532,1265
46485747,2099,509,1252
46498507,2083,508,1093
46508754,2094,511,1245
46517669,2097,517,1035
46528923,2118,522,1263
46539339,2112,514,1524
46550376,2101,521,1046
46562836,2104,514,1323
46573208,2106,511,1288
46583780,2117,528,1525
46593488,2109,515,1515
46604039,2115,533,1293
46616015,2107,511,1024
46626519,2104,511,1026
46638146,2098,511,1283
46648785,2093,514,1269
46659312,2094,508,1269
46670153,2098,517,1277
46683070,2090,511,1504
46694486,2096,547,1285
46703956,2116,520,1038
46715802,2102,514,1288
46726863,2108,520,1040
46737738,2096,528,1531
46748812,2108,529,1296
46760266,2090,526,1316
46770177,2096,521,1059
46781712,2093,511,1286
46791784,2097,520,1534
46800816,2091,516,1516
46812521,2104,518,1528
46821977,2098,518,1049
46834452,2098,518,1027
46846015,2094,526,1040
46854647,2100,513,1250
46865743,2114,514,1262
46878414,2115,521,1267
46890146,2114,530,1269
46900770,2105,517,1290
46912267,2108,520,1297
46924168,2094,523,1044
46933308,2101,528,1250
46942485,2094,511,1322
46953524,2104,516,1058
46962951,2094,508,1513
46973186,2096,518,1032
46986628,2094,525,1282
46999025,2085,511,1277
47009935,2079,527,1294
47019755,2073,511,1251
47029793,2086,511,1270
47042408,2101,524,1253
47053238,2092,539,1048
47065150,2078,522,1032
47076190,2115,511,1522
47086569,2100,511,1060
47096108,2111,511,1050
47106544,2112,509,1270
47119589,2112,511,1282
47128517,2098,504,1508
47138900,2106,504,1237
47149897,2101,501,1233
47160487,2098,518,1028
47170100,2107,517,1273
47180692,2133,511,1299
47190096,2125,525,1520
47200630,2101,508,1027
47211355,2117,521,1508
47220667,2102,519,1291
47232960,2107,512,1291
47243774,2106,511,1528
47256699,2097,513,1516
47266499,2092,521,1532
47277058,2102,524,1252
47288079,2106,528,1399
47296444,2121,542,1275
47312020,2106,525,1531
47324160,2104,530,1285
47333427,2101,517,1053
47344801,2126,538,1281
47354863,2113,526,1289
47364911,2109,526,1266
47375707,2107,524,1533
47386585,2108,518,1275
47397690,2128,524,1251
47408544,2096,511,1248
47419996,2076,514,1044
47431703,2112,509,1515
47443570,2096,511,1252
47454982,2118,514,1276
47464738,2123,528,1262
47475766,2116,539,1281
47487284,2115,528,1040
47498907,2095,516,1282
47511152,2086,512,1269
47521540,2088,521,1276
47533409,2102,525,1033
47544946,2113,511,1325
47554535,2096,514,1332
47566404,2098,486,1521
47577342,2097,542,1296
47588258,2092,522,1344
47598560,2103,533,1302
47609910,2102,534,1296
47620943,2102,529,1330
47630148,2104,537,1305
47642753,2100,538,1280
47654092,2099,544,1281
47664224,2122,534,1317
47673791,2109,528,1521
47684705,2100,513,1035
47696670,2107,518,1525
47705303,2121,528,1027
47718205,2110,524,1274
47728951,2108,518,1264
47738897,2105,524,1293
47749573,2100,516,1049
47762043,2106,530,1525
47777283,2120,538,1285
47787126,2109,523,1290
47799549,2108,542,1293
47809850,2092,539,1250
47819605,2110,539,1275
47829535,2102,503,1506
47839352,2089,525,1505
47853003,2092,538,1534
47861658,2097,511,1227
47870632,2108,536,1309
47883195,2098,524,1509
47893390,2113,537,1326
47905156,2104,533,1258
47916105,2097,541,1298
47926092,2075,562,1282
47936261,2097,536,1240
47945294,2088,530,1031
47956596,2093,524,1487
47967122,2091,509,1255
47976181,2083,530,1253
47988669,2092,553,1272
48000093,2095,521,1272
48010207,2090,520,1279
48019651,2101,543,1046
48031592,2096,533,1292
48041885,2096,523,1280
48052364,2105,524,1521
48064742,2098,529,1054
48075130,2097,541,1512
48087628,2100,526,1024
48097661,2089,523,1290
48107605,2113,536,1025
48119820,2086,541,1260
48130904,2102,527,1259
48140865,2112,524,1262
48152466,2090,526,1275
48161865,2106,538,1244
48173829,2099,540,1033
48184443,2109,520,1330
48194331,2102,525,1268
48203550,2106,517,1237
48213208,2095,525,1025
48225020,2089,516,1262
48234943,2083,511,1267
48245717,2077,512,1215
48255491,2086,520,1025
48266811,2070,511,1268
48275824,2086,517,1307
48286905,2077,511,1042
48297149,2092,511,1253
48305586,2076,516,1535
48316142,2083,526,1514
48324578,2081,507,1295
48333701,2089,532,1048
48346594,2094,524,1517
48356963,2089,522,1311
48366947,2088,524,1274
48376421,2099,520,1529
48387523,2093,532,1265
48396716,2091,532,1042
48408423,2096,547,1499
48417600,2104,532,1276
48429051,2121,522,1034
48440591,2086,541,1047
48451857,2092,534,1259
48462386,2083,545,1281
48476838,2097,539,1305
48486975,2114,553,1283
48497815,2110,527,1533
48507852,2110,524,1318
48518813,2123,532,1282
48529132,2102,541,1275
48540833,2104,528,1242
48551052,2099,530,1292
48560084,2099,529,1284
48568788,2083,534,1029
48580443,2082,536,1506
48589640,2083,529,1028
48598817,2112,533,1533
48608836,2101,534,1533
48621752,2120,542,1269
48632483,2116,536,1288
48641648,2118,537,1288
48653382,2084,547,1294
48663707,2082,556,1319
48674379,2100,541,1534
48683275,2089,541,1326
48694258,2105,568,1293
48708038,2097,536,1308
48718662,2105,542,1515
48729253,2097,548,1323
48740411,2091,542,1312
48751294,2103,537,1334
48760920,2095,553,1300
48770098,2101,546,1294
48779136,2116,554,1292
48789751,2113,545,1294
48799765,2126,553,1523
48813409,2114,552,1322
48823701,2101,540,1294
48833041,2078,537,1286
48843517,2104,538,1291
48855526,2080,543,1290
48867612,2092,539,1298
48877978,2100,534,1507
48888098,2099,532,1283
48898811,2097,534,1302
48909881,2100,544,1296
48920965,2112,561,1325
48931441,2120,564,1304
48941630,2104,561,1043
48951877,2105,556,1289
48961726,2109,560,1342
48973738,2102,560,1310
48984447,2116,552,1301
48996265,2107,549,1304
49007374,2110,569,1324
49016988,2118,564,1519
49025648,2110,561,1299
49036310,2087,550,1307
49047240,2109,540,1505
49057486,2107,560,1322
49067739,2091,546,1280
49079377,2099,544,1530
49090604,2096,550,1305
49099453,2101,540,1293
49108006,2106,557,1295
49120228,2108,542,1290
49131016,2106,563,1520
49141974,2110,560,1458
49151788,2106,565,1294
49161402,2078,546,1433
49173545,2106,562,1318
49183024,2104,533,1308
49194379,2109,541,1534
49208457,2099,548,1024
49219140,2097,548,1534
49228956,2105,554,1323
49238830,2108,546,1294
49248021,2112,562,1282
49262466,2115,543,1289
49273492,2113,542,1280
49282681,2102,544,1322
49294628,2108,545,1298
49304571,2111,559,1311
49315076,2138,544,1337
49325642,2107,551,1307
49334972,2105,532,1280
49344554,2104,547,1287
49354659,2112,533,1349
49365653,2099,545,1291
49373938,2112,538,1282
49383848,2107,535,1523
49397444,2090,541,1282
49407479,2096,558,1294
49418043,2093,544,1294
49426959,2096,535,1318
49436021,2096,563,1308
49449122,2103,556,1286
49459342,2088,554,1285
49468304,2092,541,1303
49480817,2079,548,1327
49491447,2094,546,1304
49504802,2108,541,1521
49514959,2100,544,1315
49524311,2108,540,1295
49535881,2102,532,1330
49545625,2099,550,1282
49558243,2102,546,1347
49567942,2102,549,1040
49578260,2101,537,1527
49588533,2095,548,1312
49600346,2112,536,1520
49610476,2109,542,1048
49619052,2098,541,1026
49628952,2100,544,1257
49639455,2083,537,1249
49648547,2094,530,1534
49660195,2110,524,1056
49670817,2107,528,1287
49680281,2100,555,1026
49691419,2105,538,1498
49701011,2121,538,1505
49710140,2101,517,1522
49722541,2098,549,1531
49734202,2090,553,1288
49744750,2094,545,1520
49755747,2096,542,1320
49767575,2098,554,1317
49776878,2098,546,1513
49786507,2099,529,1386
49805320,2097,539,1521
49815500,2093,544,1288
49830345,2100,535,1301
49840161,2084,539,1290
49850279,2096,545,1233
49863830,2102,542,1285
49874189,2107,541,1285
49884131,2117,540,1329
49894142,2107,537,1529
49904969,2117,536,1312
49914768,2106,540,1281
49924399,2099,533,1304
49934310,2110,538,1513
49946089,2102,548,1037
49957701,2107,528,1494
49968640,2089,547,1307
49978292,2105,552,1285
49988181,2109,548,1504
49998143,2105,555,1300
50008443,2114,552,1315
50021061,2100,536,1300
50032000,2109,536,1530
50041528,2117,538,1527
50051274,2121,545,1284
50061121,2072,534,1298
50070496,2113,546,1281
50082230,2105,544,1284
50093094,2113,547,1296
50103862,2095,541,1531
50115122,2098,548,1519
50126131,2115,546,1268
50135928,2102,549,1286
50147814,2107,557,1290
50158875,2109,544,1278
50168782,2104,545,1306
50180665,2101,552,1280
50198208,2098,558,1488
50207956,2089,547,1293
50218105,2096,554,1305
50228125,2122,536,1286
50236970,2102,561,1294
50249557,2086,549,1305
50260830,2108,555,1282
50271277,2090,549,1296
50282061,2100,548,1307
50292104,2094,542,1317
50301569,2093,555,1292
50311451,2098,542,1291
50325377,2097,532,1529
50334208,2101,540,1521
50344882,2105,549,1323
50355525,2116,530,1300
50365857,2121,541,1288
50377882,2112,540,1327
50387333,2112,553,1309
50398533,2110,545,1293
50408001,2102,549,1296
50419886,2099,587,1284
50431074,2100,561,1298
50441719,2097,546,1301
50450708,2112,569,1307
50463527,2102,545,1532
50474566,2098,521,1311
50484915,2093,556,1296
50496598,2105,550,1334
50507779,2096,594,1324
50517947,2110,545,1299
50527597,2124,545,1309
50535769,2106,560,1342
50549563,2099,556,1299
50560384,2108,554,1353
50569559,2151,565,1293
50579322,2108,547,1301
50590153,2107,550,1307
50603797,2101,552,1286
50615328,2096,564,1316
50627042,2105,560,1344
50639667,2122,564,1529
50651666,2125,568,1535
50662909,2116,569,1313
50673524,2116,546,1529
50687410,2123,562,1282
50697515,2118,560,1529
50707307,2144,555,1306
50717254,2116,564,1299
50725938,2125,570,1332
50740302,2142,565,1325
50751755,2112,550,1312
50764119,2113,568,1283
50779803,2110,548,1316
50789606,2104,558,1316
50799523,2114,559,1311
50809564,2108,559,1308
50821105,2111,561,1532
50829739,2102,609,1294
50839983,2101,565,1310
50849561,2114,569,1418
50862413,2117,579,1285
50873072,2102,564,1334
50882983,2110,563,1282
50892580,2110,555,1535
50903679,2107,568,1281
50915387,2109,564,1326
50925512,2101,565,1292
50935594,2092,574,1283
50946291,2111,584,1316
50956373,2100,570,1304
50967517,2097,578,1307
50977955,2094,550,1308
50989579,2088,564,1297
51000569,2090,556,1294
51011568,2099,564,1297
51023941,2101,542,1293
51036354,2101,566,1530
51046711,2093,523,1306
51057078,2101,544,1281
51067710,2094,564,1050
51077947,2095,553,1535
51089286,2093,561,1034
51100015,2096,557,1314
51109280,2109,568,1309
51120150,2101,537,1289
51129320,2100,549,1306
51140140,2121,555,1313
51150103,2098,560,1515
51159862,2101,549,1517
51170301,2107,560,1284
51182335,2097,511,1288
51193078,2113,548,1296
51201743,2107,550,1300
51212808,2105,548,1533
51223814,2094,550,1355
51233833,2113,556,1322
51244216,2112,558,1502
51255403,2101,556,1299
51268540,2097,555,1316
51277711,2113,555,1292
51288692,2121,554,1296
51300703,2105,553,1530
51311768,2104,552,1323
51320450,2106,557,1300
51329780,2126,548,1306
51341086,2113,546,1047
51352982,2120,547,1341
51362875,2129,548,1287
51373558,2106,549,1284
51382495,2084,555,1532
51392362,2117,561,1314
51402438,2113,561,1309
51411951,2096,540,1296
51424780,2113,553,1026
51436027,2120,560,1304
51446772,2108,555,1290
51456508,2112,560,1505
51468953,2113,562,1299
51479957,2106,559,1042
51490627,2124,563,1325
51501145,2099,550,1316
51511136,2109,555,1280
51519859,2106,557,1531
51532512,2113,554,1294
51544754,2103,546,1534
51556477,2115,557,1291
51568190,2106,553,1310
51577173,2107,557,1525
51588431,2098,537,1289
51599658,2115,562,1523
51608773,2076,557,1497
51619751,2115,577,1284
51630788,2107,546,1508
51641696,2120,546,1281
51654032,2112,554,1305
51664387,2112,560,1292
51674087,2097,549,1056
51684059,2101,576,1317
51694897,2105,564,1332
51707566,2107,554,1300
51717681,2101,553,1312
51728678,2095,556,1280
51737982,2091,556,1039
51751896,2097,554,1280
51761243,2109,569,1310
51771927,2092,565,1283
51780753,2088,559,1308
51790916,2090,557,1298
51803169,2099,559,1522
51812616,2105,570,1505
51824754,2106,547,1533
51834964,2107,566,1306
51844034,2091,552,1273
51853785,2110,563,1534
51867364,2093,560,1050
51878567,2093,562,1029
51888675,2108,554,1242
51898164,2097,550,1277
51911356,2107,557,1293
51920843,2098,558,1326
51929450,2100,557,1302
51939516,2092,547,1296
51951180,2098,562,1286
51962553,2093,570,1313
51982547,2092,563,1513
51993444,2104,560,1283
52003670,2085,559,1300
52013369,2116,561,1296
52023571,2112,574,1296
52034310,2113,575,1298
52047169,2115,579,1316
52058905,2117,569,1280
52071007,2112,564,1327
52082552,2104,559,1532
52095323,2120,557,1520
52105219,2112,557,1027
52115494,2107,555,1317
52127686,2121,567,1299
52139741,2099,560,1531
52155535,2110,560,1290
52164601,2098,580,1329
52175677,2112,558,1280
52187314,2108,557,1313
52197859,2126,558,1308
52207333,2102,558,1307
52219261,2113,599,1281
52229258,2096,550,1535
52240657,2113,560,1390
52252596,2109,574,1320
52264221,2100,551,1313
52276436,2094,550,1316
52286632,2112,562,1318
52296323,2090,562,1296
52307997,2116,549,1326
52319365,2105,546,1286
52329576,2098,562,1288
52341214,2112,555,1301
52352068,2091,545,1520
52364618,2099,554,1298
52377027,2096,562,1306
52389653,2108,565,1523
52400699,2098,556,1289
52411785,2105,550,1313
52421699,2113,557,1526
52432873,2112,569,1304
52442145,2118,557,1294
52453969,2110,558,1320
52465611,2097,562,1297
52476754,2104,565,1281
52487290,2105,580,1314
52496242,2106,561,1302
52507299,2113,550,1309
52517905,2113,558,1322
52528550,2129,562,1340
52538753,2117,559,1285
52549792,2136,561,1314
52560750,2124,564,1302
52572082,2116,558,1311
52581821,2125,569,1326
52594184,2116,566,1532
52605382,2133,569,1305
52613760,2113,566,1306
52625774,2118,576,1304
52636520,2108,566,1421
52650207,2095,541,1315
52662693,2101,558,1300
52672622,2096,560,1282
52686276,2096,558,1312
52695865,2082,545,1324
52708803,2080,549,1331
52725616,2077,565,1293
52740923,2086,570,1292
52755655,2097,573,1324
52765572,2138,573,1322
52780049,2104,582,1295
52792911,2097,579,1324
52809193,2104,573,1318
52822825,2088,568,1314
52842645,2085,567,1304
52858980,2080,557,1531
52873195,2084,552,1285
52887205,2089,562,1316
52905119,2094,562,1280
52920268,2099,561,1320
52934568,2097,573,1512
52948523,2108,563,1282
52965062,2095,549,1530
52982056,2099,556,1286
52998041,2101,578,1525
53014254,2080,558,1284
53027695,2099,561,1273
53044912,2096,545,1084
53061205,2090,525,1263
53079796,2078,558,1265
53095833,2129,564,1270
53113582,2086,556,1270
53129618,2086,556,1270
53144119,2082,548,1245
53158880,2080,548,1264
53173966,2067,532,1249
53189785,2070,547,1261
53210849,2077,540,1273
53228456,2096,547,1271
53239673,2124,539,1282
53250477,2085,548,1267
53261428,2094,543,1269
53272675,2098,547,1252
53282980,2094,552,1275
53293278,2091,552,1027
53303289,2103,548,1027
53314532,2083,532,1038
53325368,2069,535,1243
53336304,2080,540,1241
53345760,2082,535,1266
53355453,2091,534,1231
53367101,2112,547,1274
53380439,2097,544,1266
53389566,2099,542,1267
53399992,2088,566,1263
53420130,2108,548,1040
53444670,2091,543,1058
53459965,2104,539,1296
53472377,2093,539,1230
53483433,2083,530,1253
53496041,2094,542,1035
53506294,2095,537,1243
53515928,2090,534,1266
53524749,2094,538,1256
53534491,2100,538,1266
53545001,2093,534,1268
53555764,2089,537,1240
53568262,2089,531,1241
53579800,2093,534,1270
53589885,2097,536,1041
53610944,2103,546,1259
53627417,2089,523,1262
53647133,2096,515,1258
53659828,2090,528,1275
53674662,2094,534,1267
53688707,2116,536,1261
53703208,2105,549,1259
53725124,2097,535,1032
53738503,2097,541,1250
53748314,2090,538,1524
53765137,2091,539,1264
53784145,2088,515,1256
53796058,2091,533,1047
53806518,2088,545,1040
53823038,2088,538,1028
53834258,2086,552,1275
53844986,2073,543,1253
53856749,2102,511,1263
53868255,2099,538,1266
53879114,2109,549,1273
53891823,2109,542,1034
53903467,2135,550,1229
53913784,2115,556,1268
53925622,2107,552,1267
53937320,2123,556,1263
53949040,2113,548,1259
53961407,2096,545,1275
53976339,2088,538,1258
53987033,2101,534,1246
53998600,2086,536,1248
54012304,2090,549,1261
54035957,2119,541,1489
54051094,2109,539,1259
54074897,2096,544,1243
54088085,2099,550,1214
54103312,2105,551,1272
54113601,2101,540,1257
54126410,2084,544,1268
54140759,2079,537,1256
54152440,2083,548,1278
54166066,2088,538,1269
54181563,2088,533,1050
54192100,2097,543,1029
54202563,2098,546,1277
54217018,2080,546,1037
54229584,2092,553,1260
54241576,2104,552,1259
54251813,2087,535,1265
54261712,2080,533,1030
54273159,2081,538,1049
54286359,2104,523,1046
54301034,2082,542,1046
54312162,2102,541,1267
54321572,2099,526,1274
54332163,2102,542,1026
54349711,2090,544,1258
54362085,2090,552,1260
54373713,2099,543,1244
54385456,2097,539,1266
54399823,2088,553,1260
54414097,2095,552,1027
54429068,2092,537,1265
54441158,2099,539,1249
54452274,2110,548,1267
54461939,2105,548,1280
54473781,2107,547,1272
54487387,2102,561,1235
54499036,2099,542,1049
54510559,2104,555,1262
54521597,2122,540,1042
54531339,2117,550,1238
54547067,2109,550,1230
54558201,2094,548,1042
54568470,2102,549,1239
54579860,2112,549,1261
54589223,2106,552,1049
54604172,2110,540,1041
54618493,2105,542,1229
54636159,2097,567,1526
54653967,2104,544,1266
54664713,2101,545,1034
54673670,2113,544,1029
54683482,2109,540,1274
54697823,2115,541,1245
54710003,2089,534,1278
54727217,2110,537,1025
54742306,2113,555,1261
54756868,2103,581,1329
54794297,2107,556,1251
54817937,2096,552,1024
54844072,2088,547,1250
54867143,2141,548,1237
54888387,2083,544,1522
54905019,2086,545,1259
54930390,2097,540,1522
54953225,2084,553,1301
54976996,2093,546,1265
54999465,2096,533,1210
55022689,2102,548,1024
55043501,2094,539,1245
55058753,2111,547,1250
55076782,2107,548,1254
55097827,2097,529,1237
55110830,2093,547,1251
55123171,2127,546,1270
55135482,2095,549,1257
55148448,2079,560,1268
55161184,2098,552,1028
55172608,2096,554,1253
55186832,2090,550,1276
55200320,2103,541,1026
55212176,2110,582,1300
55224525,2089,561,1268
55238032,2108,557,1267
55249119,2112,555,1260
55270059,2112,538,1273
55302184,2093,528,1030
55321726,2099,542,1272
55339560,2101,552,1035
55357573,2113,556,1529
55373094,2099,556,1024
55387838,2112,564,1267
55402216,2117,552,1280
55417899,2107,554,1531
55431121,2114,539,1281
55443407,2085,543,1294
55455814,2088,536,1507
55470250,2084,529,1260
55486398,2093,540,1270
55499746,2070,535,1263
55513181,2076,521,1258
55530449,2100,541,1243
55543576,2111,555,1257
55555874,2104,539,1033
55573636,2097,554,1507
55595815,2070,556,1267
55651475,2085,537,1242
55724500,2094,556,1250
55774217,2106,545,1290
55812062,2090,538,1233
55841616,2093,558,1322
55868225,2084,557,1521
55883833,2091,552,1346
55897963,2082,563,1524
55911376,2099,552,1284
55924735,2075,556,1298
55944964,2097,568,1510
55969764,2092,564,1313
55982829,2103,553,1285
55996827,2088,558,1295
56007238,2086,556,1309
56017238,2099,565,1308
56025727,2091,573,1280
56036110,2100,577,1532
56049467,2100,558,1526
56062005,2113,557,1335
56073789,2107,557,1040
56085626,2123,566,1280
56096506,2106,532,1265
56106868,2149,545,1270
56118966,2094,540,1245
56128798,2094,565,1496
56141599,2097,538,1261
56151475,2095,547,1256
56163541,2093,550,1248
56173178,2093,523,1262
56185405,2120,541,1033
56197686,2117,546,1270
56207150,2094,555,1260
56217547,2099,528,1250
56229618,2091,547,1209
56239908,2096,528,1027
56251363,2100,536,1254
56263265,2122,541,1247
56273184,2126,544,1233
56281914,2121,525,1028
56294188,2118,531,1252
56304743,2124,549,1242
56314477,2109,546,1274
56325286,2106,532,1245
56335234,2108,549,1260
56348094,2116,541,1262
56357541,2116,542,1274
56369295,2104,526,1264
56380376,2096,549,1258
56390847,2094,534,1272
56400457,2100,540,1028
56411592,2115,536,1245
56422287,2091,525,1254
56434815,2101,539,1240
56445559,2101,533,1039
56457628,2112,533,1249
56469659,2134,540,1286
56480480,2112,544,1037
56493097,2107,537,1282
56509006,2100,545,1271
56520323,2104,541,1260
56530819,2104,540,1262
56540232,2072,548,1273
56550773,2096,536,1272
56562403,2092,569,1235
56573015,2108,559,1254
56583005,2098,544,1257
56592947,2099,523,1276
56603121,2095,550,1278
56620557,2121,532,1250
56631486,2102,541,1271
56640738,2106,532,1251
56651374,2112,534,1251
56661653,2114,541,1228
56674136,2096,534,1273
56685605,2093,532,1274
56697125,2101,533,1266
56706667,2089,542,1257
56718975,2094,552,1038
56731300,2101,537,1262
56740665,2121,536,1261
56750521,2109,540,1269
56759846,2109,538,1266
56768571,2104,540,1266
56778779,2111,555,1254
56792058,2097,538,1257
56802064,2099,529,1261
56813246,2101,547,1246
56826327,2102,529,1269
56837229,2104,524,1221
56848334,2096,525,1258
56859563,2105,523,1253
56872778,2109,520,1260
56884296,2098,523,1041
56894137,2106,524,1290
56904754,2102,539,1272
56915643,2116,544,1517
56926147,2096,539,1504
56936033,2112,535,1515
56947470,2099,538,1034
56958119,2096,523,1498
56969759,2082,546,1277
56980007,2090,525,1365
56992428,2101,530,1036
57005423,2087,524,1283
57017390,2079,530,1048
57032327,2082,521,1272
57043458,2097,533,1043
57053582,2093,539,1522
57064012,2090,546,1257
57075347,2092,528,1056
57086910,2092,537,1273
57096687,2097,527,1249
57107603,2083,518,1270
57119325,2106,511,1263
57133556,2096,513,1242
57144285,2076,515,1273
57153596,2089,511,1252
57165795,2081,513,1252
57175869,2085,506,1257
57186100,2073,501,1275
57198435,2102,507,1041
57209690,2109,511,1246
57219460,2101,511,1238
57228494,2095,524,1272
57239151,2098,513,1268
57248524,2092,511,1265
57259316,2056,511,1270
57269644,2087,521,1266
57285638,2092,516,1272
57295157,2089,514,1034
57310359,2075,519,1024
57318859,2049,514,1274
57329604,2064,518,1053
57340718,2080,531,1260
57351067,2063,539,1038
57362759,2076,532,1267
57374131,2088,513,1518
57386802,2099,564,1531
57395611,2101,523,1525
57406760,2096,524,1041
57415457,2104,525,1274
57427555,2092,511,1242
57439786,2085,511,1262
57451688,2076,517,1028
57462159,2095,515,1040
57471934,2096,516,1244
57482176,2089,511,1519
57492608,2092,515,1524
57502972,2088,522,1029
57511968,2092,511,1228
57522162,2085,511,1263
57532833,2102,512,1279
57543574,2106,524,1224
57553655,2094,526,1497
57565195,2092,514,1024
57577015,2089,511,1260
57587486,2131,522,1257
57598512,2097,517,1292
57607233,2096,511,1264
57616804,2090,511,1275
57627506,2091,520,1257
57638471,2085,532,1244
57649271,2110,525,1261
57658645,2087,517,1302
57671565,2089,511,1041
