timestamp,strain_gauge_1,strain_gauge_2,strain_gauge_3
44090150,2075,514,1263
44102449,2124,523,1519
44111703,2078,518,1304
44121489,2093,513,1294
44131826,2089,530,1290
44143609,2077,511,1516
44154529,2089,511,1254
44164055,2085,509,1253
44176456,2078,502,1514
44186356,2086,511,1258
44197211,2084,511,1048
44209367,2094,509,1272
44219733,2111,511,1258
44229320,2113,511,1217
44239660,2108,511,1025
44256745,2107,503,1244
44267456,2089,511,1268
44278132,2098,498,1274
44289642,2105,507,1274
44299276,2110,498,1277
44308996,2106,512,1261
44321080,2116,516,1273
44330377,2112,481,1267
44341431,2100,521,1237
44352025,2079,511,1291
44363200,2083,497,1068
44377998,2084,505,1517
44389039,2090,497,1237
44399959,2084,511,1038
44412256,2088,513,1025
44424096,2092,501,1230
44433916,2081,504,1227
44444039,2092,511,1226
44453280,2092,518,1262
44463919,2097,511,1049
44474522,2097,511,1273
44483607,2089,511,1248
44495041,2101,511,1257
44507578,2100,511,1045
44517852,2097,497,1271
44527839,2099,508,1266
44540125,2059,511,1248
44549726,2097,511,1265
44560221,2100,511,1523
44571728,2095,506,1251
44584182,2092,509,1029
44595431,2097,511,1526
44605617,2089,510,1041
44616021,2097,508,1074
44625067,2093,508,1533
44634902,2093,511,1286
44644168,2107,506,1276
44656431,2108,510,1047
44665948,2088,512,1528
44676716,2091,511,1262
44687210,2077,508,1262
44701217,2088,514,1270
44711752,2105,511,1253
44724113,2109,504,1262
44735346,2088,501,1251
44744992,2089,509,1254
44756836,2097,493,1030
44767264,2102,511,1038
44776216,2095,511,1279
44785623,2100,511,1049
44798219,2094,505,1227
44807576,2099,501,1035
44817274,2092,505,1322
44827459,2086,500,1264
44838965,2099,506,1272
44850716,2082,511,1042
44862085,2102,510,1052
44871437,2110,504,1509
44883123,2102,499,1254
44894253,2117,497,1069
44904786,2094,511,1286
44917017,2096,500,1274
44927606,2105,500,1255
44938844,2096,505,1245
44950415,2107,511,1529
44961098,2107,511,1243
44969964,2104,511,1303
44981526,2095,511,1137
44995355,2093,511,1244
45005336,2096,513,1261
45017872,2094,507,1269
45027744,2101,511,1235
45039493,2092,511,1265
45050072,2104,501,1265
45059392,2108,510,1264
45069434,2104,500,1276
45081073,2107,491,1273
45093289,2092,511,1260
45105183,2090,511,1262
45115685,2101,511,1032
45124071,2098,511,1250
