ros_time_sec,frame_id,bus_voltage,shunt_voltage,current,power
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.458749771118164,-7.499999810534064e-06,0.0,0.0
0.0,,5.440000057220459,-4.999999873689376e-06,0.0,0.0
0.0,,5.436249732971191,-7.499999810534064e-06,0.0,0.0
0.0,,5.414999961853027,-7.499999810534064e-06,0.0,0.0
0.0,,5.451250076293945,-7.499999810534064e-06,0.0,0.0
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.441249847412109,-9.999999747378752e-06,0.0,0.0
0.0,,5.432499885559082,-7.499999810534064e-06,0.0,0.0
0.0,,5.429999828338623,-7.499999810534064e-06,0.0,0.0
0.0,,5.431250095367432,-7.499999810534064e-06,0.0,0.0
0.0,,5.442500114440918,-7.499999810534064e-06,0.0,0.0
0.0,,5.456249713897705,-7.499999810534064e-06,0.0,0.0
0.0,,5.447499752044678,-9.999999747378752e-06,0.0,0.0
0.0,,5.452499866485596,-7.499999810534064e-06,0.0,0.0
0.0,,5.448750019073486,-7.499999810534064e-06,0.0,0.0
0.0,,5.441249847412109,-7.499999810534064e-06,0.0,0.0
0.0,,5.434999942779541,-4.999999873689376e-06,0.0,0.0
0.0,,5.452499866485596,-7.499999810534064e-06,0.0,0.0
0.0,,5.443749904632568,-7.499999810534064e-06,0.0,0.0
0.0,,5.451250076293945,-9.999999747378752e-06,0.0,0.0
0.0,,5.434999942779541,-7.499999810534064e-06,0.0,0.0
0.0,,5.442500114440918,-7.499999810534064e-06,0.0,0.0
0.0,,5.436249732971191,-4.999999873689376e-06,0.0,0.0
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.449999809265137,-4.999999873689376e-06,0.0,0.0
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.454999923706055,-9.999999747378752e-06,0.0,0.0
0.0,,5.447499752044678,-7.499999810534064e-06,0.0,0.0
0.0,,5.460000038146973,-7.499999810534064e-06,0.0,0.0
0.0,,5.451250076293945,-7.499999810534064e-06,0.0,0.0
0.0,,5.458749771118164,-4.999999873689376e-06,0.0,0.0
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.4375,-9.999999747378752e-06,0.0,0.0
0.0,,5.431250095367432,-1.249999968422344e-05,0.0,0.0
0.0,,5.433749675750732,-9.999999747378752e-06,0.0,0.0
0.0,,5.434999942779541,-7.499999810534064e-06,0.0,0.0
0.0,,5.43874979019165,-9.999999747378752e-06,0.0,0.0
0.0,,5.446249961853027,-9.999999747378752e-06,0.0,0.0
0.0,,5.429999828338623,-7.499999810534064e-06,0.0,0.0
0.0,,5.456249713897705,-7.499999810534064e-06,0.0,0.0
0.0,,5.444999694824219,-4.999999873689376e-06,0.0,0.0
0.0,,5.458749771118164,-7.499999810534064e-06,0.0,0.0
0.0,,5.444999694824219,-7.499999810534064e-06,0.0,0.0
0.0,,5.463749885559082,-7.499999810534064e-06,0.0,0.0
0.0,,5.449999809265137,-7.499999810534064e-06,0.0,0.0
0.0,,5.461249828338623,-4.999999873689376e-06,0.0,0.0
0.0,,5.434999942779541,-7.499999810534064e-06,0.0,0.0
0.0,,5.443749904632568,-7.499999810534064e-06,0.0,0.0
0.0,,5.43874979019165,-4.999999873689376e-06,0.0,0.0
0.0,,5.443749904632568,-7.499999810534064e-06,0.0,0.0
0.0,,5.444999694824219,-7.499999810534064e-06,0.0,0.0
0.0,,5.43874979019165,-9.999999747378752e-06,0.0,0.0
0.0,,5.447499752044678,-7.499999810534064e-06,0.0,0.0
0.0,,5.434999942779541,-7.499999810534064e-06,0.0,0.0
0.0,,5.456249713897705,-7.499999810534064e-06,0.0,0.0
0.0,,5.442500114440918,-7.499999810534064e-06,0.0,0.0
0.0,,5.457499980926514,-7.499999810534064e-06,0.0,0.0
0.0,,5.423749923706055,-7.499999810534064e-06,0.0,0.0
0.0,,5.414999961853027,-4.999999873689376e-06,0.0,0.0
0.0,,5.448750019073486,-7.499999810534064e-06,0.0,0.0
0.0,,5.444999694824219,-9.999999747378752e-06,0.0,0.0
0.0,,5.454999923706055,-7.499999810534064e-06,0.0,0.0
0.0,,5.452499866485596,-4.999999873689376e-06,0.0,0.0
0.0,,5.434999942779541,-9.999999747378752e-06,0.0,0.0
0.0,,5.447499752044678,-9.999999747378752e-06,0.0,0.0
0.0,,5.4375,-9.999999747378752e-06,0.0,0.0
0.0,,5.432499885559082,-9.999999747378752e-06,0.0,0.0
0.0,,5.423749923706055,-4.999999873689376e-06,0.0,0.0
0.0,,5.418749809265137,-4.999999873689376e-06,0.0,0.0
0.0,,5.451250076293945,-4.999999873689376e-06,0.0,0.0
0.0,,5.429999828338623,-2.499999936844688e-06,0.0,0.0
0.0,,5.456249713897705,-7.499999810534064e-06,0.0,0.0
0.0,,5.433749675750732,-4.999999873689376e-06,0.0,0.0
0.0,,5.461249828338623,-4.999999873689376e-06,0.0,0.0
0.0,,5.448750019073486,-4.999999873689376e-06,0.0,0.0
0.0,,5.462500095367432,-7.499999810534064e-06,0.0,0.0
0.0,,5.449999809265137,-7.499999810534064e-06,0.0,0.0
0.0,,5.446249961853027,-9.999999747378752e-06,0.0,0.0
0.0,,5.454999923706055,-7.499999810534064e-06,0.0,0.0
0.0,,5.443749904632568,-7.499999810534064e-06,0.0,0.0
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.434999942779541,-7.499999810534064e-06,0.0,0.0
0.0,,5.443749904632568,-7.499999810534064e-06,0.0,0.0
0.0,,5.436249732971191,-4.999999873689376e-06,0.0,0.0
0.0,,5.457499980926514,-7.499999810534064e-06,0.0,0.0
0.0,,5.442500114440918,-7.499999810534064e-06,0.0,0.0
0.0,,5.462500095367432,-7.499999810534064e-06,0.0,0.0
0.0,,5.434999942779541,-2.499999936844688e-06,0.0,0.0
0.0,,5.461249828338623,-4.999999873689376e-06,0.0,0.0
0.0,,5.454999923706055,-4.999999873689376e-06,0.0,0.0
0.0,,5.464999675750732,-4.999999873689376e-06,0.0,0.0
0.0,,5.460000038146973,-7.499999810534064e-06,0.0,0.0
0.0,,5.453749656677246,-7.499999810534064e-06,0.0,0.0
0.0,,5.457499980926514,-7.499999810534064e-06,0.0,0.0
0.0,,5.448750019073486,-4.999999873689376e-06,0.0,0.0
0.0,,5.448750019073486,-7.499999810534064e-06,0.0,0.0
