data
43667,0.00000,24.99925
43669,0.00000,24.99925
43671,0.00000,24.99925
43673,0.00000,24.99925
43675,0.00000,24.99925
43677,0.00000,24.99925
43679,0.00000,24.99925
43681,0.00000,24.99925
43683,0.00000,24.99925
43685,0.00000,24.99925
43687,0.00000,24.99925
43689,0.00000,24.99925
43691,0.00000,24.99925
43693,0.00000,24.99925
43695,0.00000,24.99925
43697,0.00000,24.99925
43699,0.00000,24.99925
43701,0.00000,24.99925
43703,0.00000,24.99925
43705,0.00000,24.99925
43707,0.00000,24.99925
43709,0.00000,24.99925
43711,0.00000,24.99925
43713,0.00000,24.99925
43715,0.00000,24.99925
43717,0.00000,24.99925
43719,0.00000,24.99925
43721,0.00000,24.99925
43723,0.00000,24.99925
43725,0.00000,24.99925
43727,0.00000,24.99925
43729,0.00000,24.99925
43731,0.00000,24.99925
43733,0.00000,24.99925
43735,0.00000,24.99925
43737,0.00000,24.99925
43739,0.00000,24.99925
43741,0.00000,24.99925
43743,0.00000,24.99925
43745,0.00000,24.99925
43747,0.00000,24.99925
43749,0.00000,24.99925
43751,0.00000,24.99925
43753,0.00000,24.99925
43755,0.00000,24.99925
43757,0.00000,24.99925
43759,0.00000,24.99925
43761,0.00000,24.99925
43763,0.00000,24.99925
43765,0.00000,24.99925
43767,0.00000,24.99925
43769,0.00000,24.99925
43771,0.00000,24.99925
43773,0.00000,24.99925
43775,0.00000,24.99925
43777,0.00000,24.99925
43779,0.00000,24.99925
43781,0.00000,24.99925
43783,0.00000,24.99925
43785,0.00000,24.99925
43787,0.00000,24.99925
43789,0.00000,24.99925
43791,0.00000,24.99925
43793,0.00000,24.99925
43795,0.00000,24.99925
43797,0.00000,24.99925
43799,0.00000,24.99925
43801,0.00000,24.99925
43803,0.00000,24.99925
43805,0.00000,24.99925
43807,0.00000,24.99925
43809,0.00000,24.99925
43811,0.00000,24.99925
43813,0.00000,24.99925
43815,0.00000,24.99925
43817,0.00000,24.99925
43819,0.00000,24.99925
43821,0.00000,24.99925
43823,0.00000,24.99925
43825,0.00000,24.99925
43827,0.00000,24.99925
43829,0.00000,24.99925
43831,0.00000,24.99925
43833,0.00000,24.99925
43835,0.00000,24.99925
43837,0.00000,24.99925
43839,0.00000,24.99925
43841,0.00000,24.99925
43843,0.00000,24.99925
43845,0.00000,24.99925
43847,0.00000,24.99925
43849,0.00000,24.99925
43851,0.00000,24.99925
43853,0.00000,24.99925
43855,0.00000,24.99925
43857,0.00000,24.99925
43859,0.00000,24.99925
43861,0.00000,24.99925
43863,0.00000,24.99925
43865,0.00000,24.99925
43867,0.00000,24.99925
43869,0.00000,24.99925
43871,0.00000,24.99925
43873,0.00000,24.99925
43875,0.00000,24.99925
43877,0.00000,24.99925
43879,0.00000,24.99925
43881,0.00000,24.99925
43883,0.00000,24.99925
43885,0.00000,24.99925
43887,0.00000,24.99925
43889,0.00000,24.99925
43891,0.00000,24.99925
43893,0.00000,24.99925
43895,0.00000,24.99925
43897,0.00000,24.99925
43899,0.00000,24.99925
43901,0.00000,24.99925
43903,0.00000,24.99925
43905,0.00000,24.99925
43907,0.00000,24.99925
43909,0.00000,24.99925
43911,0.00000,24.99925
43913,0.00000,24.99925
43915,0.00000,24.99925
43917,0.00000,24.99925
43919,0.00000,24.99925
43921,0.00000,24.99925
43923,0.00000,24.99925
43925,0.00000,24.99925
43927,0.00000,24.99925
43929,0.00000,24.99925
43931,0.00000,24.99925
43933,0.00000,24.99925
43935,0.00000,24.99925
43937,0.00000,24.99925
43939,0.00000,24.99925
43941,0.00000,24.99925
43943,0.00000,24.99925
43945,0.00000,24.99925
43947,0.00000,24.99925
43949,0.00000,24.99925
43951,0.00000,24.99925
43953,0.00000,24.99925
43955,0.00000,24.99925
43957,0.00000,24.99925
43959,0.00000,24.99925
43961,0.00000,24.99925
43963,0.00000,24.99925
43965,0.00000,24.99925
43967,0.00000,24.99925
43969,0.00000,24.99925
43971,0.00000,24.99925
43973,0.00000,24.99925
43975,0.00000,24.99925
43977,0.00000,24.99925
43979,0.00000,24.99925
43981,0.00000,24.99925
43983,0.00000,24.99925
43985,0.00000,24.99925
43987,0.00000,24.99925
43989,0.00000,24.99925
43991,0.00000,24.99925
43993,0.00000,24.99925
43995,0.00000,24.99925
43997,0.00000,24.99925
43999,0.00000,24.99925
44001,0.00000,24.99925
44003,0.00000,24.99925
44005,0.00000,24.99925
44007,0.00000,24.99925
44009,0.00000,24.99925
44011,0.00000,24.99925
44013,0.00000,24.99925
44015,0.00000,24.99925
44017,0.00000,24.99925
44019,0.00000,24.99925
44021,0.00000,24.99925
44023,0.00000,24.99925
44025,0.00000,24.99925
44027,0.00000,24.99925
44029,0.00000,24.99925
44031,0.00000,24.99925
44033,0.00000,24.99925
44035,0.00000,24.99925
44037,0.00000,24.99925
44039,0.00000,24.99925
44041,0.00000,24.99925
44043,0.00000,24.99925
44045,0.00000,24.99925
44047,0.00000,24.99925
44049,0.00000,24.99925
44051,0.00000,24.99925
44053,0.00000,24.99925
44055,0.00000,24.99925
44057,0.00000,24.99925
44059,0.00000,24.99925
44061,0.00000,24.99925
44063,0.00000,24.99925
44065,0.00000,24.99925
44067,0.00000,24.99925
44069,0.00000,24.99925
44071,0.00000,24.99925
44073,0.00000,24.99925
44075,0.00000,24.99925
44077,0.00000,24.99925
44079,0.00000,24.99925
44081,0.00000,24.99925
44083,0.00000,24.99925
44085,0.00000,24.99925
44087,0.00000,24.99925
44089,0.00000,24.99925
44091,0.00000,24.99925
44093,0.00000,24.99925
44095,0.00000,24.99925
44097,0.00000,24.99925
44099,0.00000,24.99925
44101,0.00000,24.99925
44103,0.00000,24.99925
44105,0.00000,24.99925
44107,0.00000,24.99925
44109,0.00000,24.99925
44111,0.00000,24.99925
44113,0.00000,24.99925
44115,0.00000,24.99925
44117,0.00000,24.99925
44119,0.00000,24.99925
44121,0.00000,24.99925
44123,0.00000,24.99925
44125,0.00000,24.99925
44127,0.00000,24.99925
44129,0.00000,24.99925
44131,0.00000,24.99925
44133,0.00000,24.99925
44135,0.00000,24.99925
44137,0.00000,24.99925
44139,0.00000,24.99925
44141,0.00000,24.99925
44143,0.00000,24.99925
44145,0.00000,24.99925
44147,0.00000,24.99925
44149,0.00000,24.99925
44151,0.00000,24.99925
44153,0.00000,24.99925
44155,0.00000,24.99925
44157,0.00000,24.99925
44159,0.00000,24.99925
44161,0.00000,24.99925
44163,0.00000,24.99925
44165,0.00000,24.99925
44167,0.00000,24.99925
44169,0.00000,24.99925
44171,0.00000,24.99925
44173,0.00000,24.99925
44175,0.00000,24.99925
44176,0.00000,24.99925
44178,0.00000,24.99925
44180,0.00000,24.99925
44182,0.00000,24.99925
44184,0.00000,24.99925
44186,0.00000,24.99925
44188,0.00000,24.99925
44190,0.00000,24.99925
44192,0.00000,24.99925
44194,0.00000,24.99925
44196,0.00000,24.99925
44198,0.00000,24.99925
44200,0.00000,24.99925
44202,0.00000,24.99925
44204,0.00000,24.99925
